Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:19:05,2018-08-27 21:19:16,11.145s,ERROR
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:19:05,2018-08-27 21:19:14,8.775s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:19:05,2018-08-27 21:19:08,2.888s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:19:08,2018-08-27 21:19:08,0.422s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:19:08,2018-08-27 21:19:09,0.256s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:19:09,2018-08-27 21:19:11,2.760s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:19:11,2018-08-27 21:19:13,1.151s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:19:13,2018-08-27 21:19:13,0.128s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:19:13,2018-08-27 21:19:13,0.112s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:19:13,2018-08-27 21:19:14,0.777s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:19:14,2018-08-27 21:19:14,0.225s,ERROR
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:19:14,2018-08-27 21:19:15,0.909s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:19:14,2018-08-27 21:19:15,0.771s,PASSED
